"name";"code";"iso";"countryCode";"active"
"Alba";"ALBA";"AB";"ROMANIA";"true"
"Arad";"ARAD";"AR";"ROMANIA";"true"
"Arges";"ARGES";"AG";"ROMANIA";"true"
"Bacau";"BACAU";"BC";"ROMANIA";"true"
"Bihor";"BIHOR";"BH";"ROMANIA";"true"
"Bistrita-nasaud";"BISTRITA";"BN";"ROMANIA";"true"
"Botosani";"BOTOSANI";"BT";"ROMANIA";"true"
"Braila";"BRAILA";"BR";"ROMANIA";"true"
"Brasov";"BRASOV";"BV";"ROMANIA";"true"
"Bucuresti";"BUCURESTI";"B";"ROMANIA";"true"
"Buzau";"BUZAU";"BZ";"ROMANIA";"true"
"Calarasi";"CALARASI";"CL";"ROMANIA";"true"
"Caras-severin";"CARAS_SEVERIN";"CS";"ROMANIA";"true"
"Cluj";"CLUJ";"CJ";"ROMANIA";"true"
"Constanta";"CONSTANTA";"CT";"ROMANIA";"true"
"Covasna";"COVASNA";"CV";"ROMANIA";"true"
"Dimbovita";"DIMBOVITA";"DB";"ROMANIA";"true"
"Dolj";"DOLJ";"DJ";"ROMANIA";"true"
"Galati";"GALATI";"GL";"ROMANIA";"true"
"Giurgiu";"GIURGIU";"GR";"ROMANIA";"true"
"Gorj";"GORJ";"GJ";"ROMANIA";"true"
"Harghita";"HARGHITA";"HR";"ROMANIA";"true"
"Hunedoara";"HUNEDOARA";"HD";"ROMANIA";"true"
"Ialomita";"IALOMITA";"IL";"ROMANIA";"true"
"Iasi";"IASI";"IS";"ROMANIA";"true"
"Ilfov";"ILFOV";"IF";"ROMANIA";"true"
"Maramures";"MARAMURES";"MM";"ROMANIA";"true"
"Mehedinti";"MEHEDINTI";"MH";"ROMANIA";"true"
"Mures";"MURES";"MS";"ROMANIA";"true"
"Neamt";"NEAMT";"NT";"ROMANIA";"true"
"Olt";"OLT";"OT";"ROMANIA";"true"
"Prahova";"PRAHOVA";"PH";"ROMANIA";"true"
"Salaj";"SALAJ";"SJ";"ROMANIA";"true"
"Satu-mare";"SATUMARE";"SM";"ROMANIA";"true"
"Sibiu";"SIBIU";"SB";"ROMANIA";"true"
"Suceava";"SUCEAVA";"SV";"ROMANIA";"true"
"Teleorman";"TELEORMAN";"TR";"ROMANIA";"true"
"Timis";"TIMIS";"TM";"ROMANIA";"true"
"Tulcea";"TULCEA";"TL";"ROMANIA";"true"
"Valcea";"VALCEA";"VL";"ROMANIA";"true"
"Vaslui";"VASLUI";"VS";"ROMANIA";"true"
"Vrancea";"VRANCEA";"VR";"ROMANIA";"true"