"name";"code";"notes";"type";"active"
"Centimeters";"CM";;"Length";"true"
"Day";"DAY";;"Time";"true"
"Dozen";"DZ";;"Quantity";"true"
"Each";"EA";;"Quantity";"true"
"Giga-bytes";"GB";;"Data-storage";"true"
"GigaHertz";"GHz";;"Frequency";"true"
"Gram";"G";;"Mass";"true"
"Half-Dozen";"HDZ";;"Quantity";"true"
"Inches";"INCH";;"Length";"true"
"Kilo-bytes";"KB";;"Data-storage";"true"
"KiloHertz";"KHz";;"Frequency";"true"
"Kilogram";"KG";;"Mass";"true"
"Kilometers";"KM";;"Length";"true"
"Litres";"LT";;"Volume";"true"
"Mega-bytes";"MB";;"Data-storage";"true"
"MegaHertz";"MHz";;"Frequency";"true"
"Meters";"M";;"Length";"true"
"Milimeters";"MM";;"Length";"true"
"Month";"MONTH";;"Time";"true"
"Pound";"POUND";;"Mass";"true"
"Rotation/minute";"RPM";;"Speed";"true"
"Seconds";"SECOND";;"Time";"true"
"Week";"WEEK";;"Time";"true"