element;reference;alias
deducere_tot;deducere_suplim;deducere_suplim
deducere_tot;deducere_pers;deducere_pers
cas_angajat;salariu_brut;salariu_brut
somaj_angajat;salariu_brut;salariu_brut
cass_angajat;salariu_brut;salariu_brut
salariu_baza_impozit;salariu_net;salariu_net
salariu_baza_impozit;deducere_tot;deducere_tot
taxe_angajat;cas_angajat;cas_angajat
deducere_pers;persoane_intretinere;persoane_intretinere
deducere_pers;salariu_brut;salariu_brut
salariu_net;taxe_angajat;taxe_angajat
salariu_net;salariu_brut;salariu_brut
taxe_angajat;somaj_angajat;somaj_angajat
taxe_angajat;cass_angajat;cass_angajat